No,ULOK,Nama Toko,Cabang,SPK End,ST Date,Before Days,Before Amount,After Days,After Amount,Delta Days,Delta Amount,Impact Type
1,1DZ1-2601-0001-R,"PANCURAN GADING",JAMBI,2026-05-18,2026-05-23,4,4000000,4,4000000,0,0,NO_CHANGE
2,1JZ1-2602-0001,"CISAMPIH",KARAWANG,2026-04-25,2026-04-29,2,2000000,2,2000000,0,0,NO_CHANGE
3,1JZ1-2604-0001,"RAYA DEWI AIR_KARAWANG",KARAWANG,2026-05-30,2026-06-05,3,3000000,3,3000000,0,0,NO_CHANGE
4,1JZ1-2604-1J72-R,"INTERCHANGE KARABA",KARAWANG,2026-06-07,2026-06-15,7,6000000,7,6000000,0,0,NO_CHANGE
5,1JZ1-2605-1J20-R,"SEGARAN",KARAWANG,2026-06-15,2026-06-17,1,1000000,0,0,-1,-1000000,DECREASE
6,1JZ1-2605-1J3U-R,"PESONA KALANGSURIA",KARAWANG,2026-06-20,2026-06-24,2,2000000,2,2000000,0,0,NO_CHANGE
7,1JZ1-2605-1JK5-R,"RAYA KERTASARI",KARAWANG,2026-05-29,2026-06-03,2,2000000,1,1000000,-1,-1000000,DECREASE
8,1JZ1-2605-CC78-R,"SIRNABAYA_KARAWANG",KARAWANG,2026-05-23,2026-06-04,10,7500000,10,7500000,0,0,NO_CHANGE
9,1MZ1-2604-1M4P-R,"JL MOCH KAHFI",PARUNG,2026-06-13,2026-07-02,17,7500000,17,7500000,0,0,NO_CHANGE
10,1MZ1-2604-1M8U-R,"srengseng sawah 3",PARUNG,2026-06-23,2026-07-02,8,6500000,8,6500000,0,0,NO_CHANGE
11,1YZ1-2604-0001,"WENANG MANADO",MANADO,2026-05-25,2026-06-30,20,7500000,35,7500000,15,0,NO_CHANGE
12,2AZ1-2602-0001,"ALFAMART KUDU",REMBANG,2026-05-14,2026-05-28,13,7500000,13,7500000,0,0,NO_CHANGE
13,2DZ1-2601-0002,"RUKO SP PLAZA",BATAM,2026-04-17,2026-05-05,16,7500000,15,7500000,-1,0,NO_CHANGE
14,2DZ1-2601-0003-R,"Central Barelang",BATAM,2026-04-16,2026-05-05,18,7500000,18,7500000,0,0,NO_CHANGE
15,2JZ1-2603-0003,"GUNUNG JAYA",CIANJUR,2026-05-29,2026-06-02,1,1000000,0,0,-1,-1000000,DECREASE
16,2PZ1-2508-0007,"MT HARYONO BARU",TEGAL,2026-05-05,2026-05-08,2,2000000,2,2000000,0,0,NO_CHANGE
17,2SZ1-2603-0001-R,"DALAPULI BOLMUT",GORONTALO,2026-06-06,2026-06-15,7,6000000,7,6000000,0,0,NO_CHANGE
18,2SZ1-2603-0002,"DUINI BOLMUT",GORONTALO,2026-06-16,2026-07-01,14,7500000,14,7500000,0,0,NO_CHANGE
19,2VZ1-2603-0003,"SEBA-SEBA LUWU",LUWU,2026-05-24,2026-05-25,1,1000000,1,1000000,0,0,NO_CHANGE
20,2VZ1-2603-0005,"RADDA LUTRA",LUWU,2026-06-10,2026-07-03,22,7500000,22,7500000,0,0,NO_CHANGE
21,2VZ1-2604-0001-R,"KH. MUH. KASIM PALOPO",LUWU,2026-06-07,2026-06-23,16,7500000,16,7500000,0,0,NO_CHANGE
22,CZ01-2603-0001,"APARTEMEN STANDFORD MEIKARTA",BEKASI,2026-06-16,2026-06-18,1,1000000,1,1000000,0,0,NO_CHANGE
23,CZ01-2603-0002,"DS PULO GEBANG",BEKASI,2026-07-01,2026-07-08,6,5500000,6,5500000,0,0,NO_CHANGE
24,CZ01-2603-0003,"RUKO LAVANYA",BEKASI,2026-06-25,2026-07-06,10,7500000,10,7500000,0,0,NO_CHANGE
25,LZ01-2603-0001,"SIMPANG PEMATANG",LAMPUNG,2026-07-02,2026-07-06,3,3000000,3,3000000,0,0,NO_CHANGE
26,LZ01-2603-0001,"SIMPANG PEMATANG",KOTABUMI,2026-07-02,2026-07-06,3,3000000,3,3000000,0,0,NO_CHANGE
27,LZ01-2605-0002,"AHMAD YANI BATURAJA",LAMPUNG,2026-06-24,2026-06-26,1,1000000,1,1000000,0,0,NO_CHANGE
28,LZ01-2605-0002,"AHMAD YANI BATURAJA",KOTABUMI,2026-06-24,2026-06-26,1,1000000,1,1000000,0,0,NO_CHANGE
29,OZ01-2602-O010-R,"ALFAMART JL. PUCANGAN",KLATEN,2026-05-08,2026-07-03,53,7500000,53,7500000,0,0,NO_CHANGE
30,RZ01-2601-0004-R,"Panciro Gowa",MAKASSAR,2026-03-31,2026-07-07,97,7500000,97,7500000,0,0,NO_CHANGE
31,RZ01-2602-0001,"JENETALLASA GOWA",MAKASSAR,2026-04-13,2026-07-10,87,7500000,87,7500000,0,0,NO_CHANGE
32,RZ01-2602-0003-R,"TINGGIMAE GOWA",MAKASSAR,2026-03-31,2026-07-07,97,7500000,97,7500000,0,0,NO_CHANGE
33,RZ01-2604-0004,"TAMALAYYANG GOWA",MAKASSAR,2026-06-06,2026-07-03,25,7500000,25,7500000,0,0,NO_CHANGE
34,UZ01-2602-0010,"KPG OESAPA BARU",NTT,2026-05-31,2026-06-17,16,7500000,15,7500000,-1,0,NO_CHANGE
35,UZ01-2603-0011,"KPG OESAPA SELATAN",NTT,2026-04-30,2026-05-04,3,3000000,0,0,-3,-3000000,DECREASE
36,UZ01-2603-0021,"DI PANJAITAN BPN",SIDOARJO BPN_SMD,2026-07-07,2026-07-10,2,2000000,2,2000000,0,0,NO_CHANGE
37,UZ01-2605-U728-R,"U728 TRUNOJOYO SUMENEP",SIDOARJO,2026-06-18,2026-06-20,1,1000000,1,1000000,0,0,NO_CHANGE
38,WZ01-2601-0001,"Pangururan",MEDAN,2026-07-05,2026-07-10,4,4000000,4,4000000,0,0,NO_CHANGE
39,WZ01-2602-0010,"GRIGIT",MEDAN,2026-05-28,2026-06-30,32,7500000,32,7500000,0,0,NO_CHANGE
40,WZ01-2602-0019,"Sukamandi Hilir",MEDAN,2026-06-28,2026-06-30,1,1000000,1,1000000,0,0,NO_CHANGE
41,WZ01-2602-0026,"RINGROAD SUNGGAL",MEDAN,2026-05-02,2026-06-29,56,7500000,56,7500000,0,0,NO_CHANGE
42,WZ01-2604-0009,"SIGURA GURA",MEDAN,2026-07-03,2026-07-10,5,5000000,4,4000000,-1,-1000000,DECREASE
43,XZ01-2512-0002,"JL. MESJID RAWA GENI",BOGOR,2026-03-27,2026-05-15,44,7500000,46,7500000,2,0,NO_CHANGE
44,XZ01-2512-0003,"LEMBAH HIJAU",BOGOR,2026-04-13,2026-05-07,23,7500000,23,7500000,0,0,NO_CHANGE
45,XZ01-2602-XB72-R,"PARUNG BANTENG",BOGOR,2026-05-06,2026-06-08,32,7500000,32,7500000,0,0,NO_CHANGE