cabang,nomor_ulok,nama_toko,lingkup_pekerjaan,id_toko,opname_final_id,tipe_opname,aksi,status_opname_final,tanggal_opname_final,opname_item_count,berkas_serah_terima_id,link_pdf_opname,link_pdf_serah_terima
BALARAJA,TZ01-2511-0003,DS PERTIGAAN JAHA,ME,2170,289,OPNAME_FINAL,terkunci,Disetujui,2026-02-24,21,,https://drive.google.com/file/d/19SBxdYzDcyb0yt5xpss-F6zBAyhOxJlH/view?usp=drivesdk,
BALARAJA,TZ01-2511-0003,DS PERTIGAAN JAHA,SIPIL,734,290,OPNAME_FINAL,terkunci,Disetujui,2026-02-09,51,,https://drive.google.com/file/d/1HdHSwSmZKM1-MlVpGHTq5PQBOBsG-pIh/view?usp=drivesdk,
BALARAJA,TZ01-2511-0004,Permata Daru,ME,768,291,OPNAME_FINAL,terkunci,Disetujui,2026-05-04,31,,https://drive.google.com/file/d/18_oQ7MHe3EIjnvXh6l9tqdSFJXkTLz5R/view?usp=drivesdk,
BALARAJA,TZ01-2511-0004,Permata Daru,SIPIL,767,292,OPNAME_FINAL,terkunci,Disetujui,2026-05-13,112,,https://drive.google.com/file/d/16lgc0nS1KQOWEhYW5qTPLRrWiju_xkrw/view?usp=drivesdk,
BALARAJA,TZ01-2512-0002-R,GRAND TENJO 2,ME,783,8,OPNAME,active,Proses KTK/Approval Kontraktor,2026-04-30,0,,https://drive.google.com/file/d/1yTsPx38aDO7PnI4YF0O_CJPKdBE_QfS7/view?usp=drivesdk,
BALARAJA,TZ01-2512-0002-R,GRAND TENJO 2,SIPIL,782,293,OPNAME_FINAL,terkunci,Disetujui,2026-05-20,119,,https://drive.google.com/file/d/1NM6ST_MAsj5F7qCGz_XDV1qdLTGET3uv/view?usp=drivesdk,
BALARAJA,TZ01-2601-0001,Bumi Indah 5,SIPIL,848,239,OPNAME,active,Proses KTK/Approval Kontraktor,2026-03-12,4,,,
BALARAJA,TZ01-2602-KC06-R,TMN PALEM LESTARI 3,SIPIL,861,240,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-17,44,,,
BALARAJA,TZ01-2603-A645-R,PARIGI PONDOK AREN,ME,1057,82,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-11,0,,,
BALARAJA,TZ01-2603-A645-R,PARIGI PONDOK AREN,SIPIL,1055,17,OPNAME,active,Proses KTK/Approval Kontraktor,2026-05-18,0,,,
BALARAJA,TZ01-2603-TC56-R,GOP 9,ME,1120,60,OPNAME_FINAL,terkunci,Menunggu Persetujuan Direktur Kontraktor,2026-06-02,9,,https://drive.google.com/file/d/1cK5pWPPYib0n_R0xxQsd2B0fxuBGpVI0/view?usp=drivesdk,
BALARAJA,TZ01-2603-TC56-R,GOP 9,SIPIL,1119,59,OPNAME_FINAL,terkunci,Menunggu Persetujuan Manajer,2026-06-02,8,,https://drive.google.com/file/d/1jg0EZdyGl5F1bNGHeG2RPmc-rq7pWP5M/view?usp=drivesdk,
BALARAJA,TZ01-2603-TE01-R,PALEM PURI,ME,1058,79,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-11,0,,,
BALARAJA,TZ01-2603-TE01-R,PALEM PURI,SIPIL,1053,78,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-11,0,,,
BALARAJA,TZ01-2604-0004,STA Jatake Jaha,ME,1512,308,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-26,27,,,
BALARAJA,TZ01-2604-0004,STA Jatake Jaha,SIPIL,1511,143,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-19,34,,,
BALARAJA,TZ01-2604-1M18-R,RUKO AGRICOLA 2,SIPIL,1382,67,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-04,0,,,
BALARAJA,TZ01-2605-TH31-R,UBM Tower 2,SIPIL,1852,255,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-25,8,,,
BANDUNG RAYA,BZ01-2601-0004,CIGANTANG,ME,979,226,OPNAME,active,Proses KTK/Approval Kontraktor,2026-05-19,28,,,
BANDUNG RAYA,BZ01-2601-0004,CIGANTANG,SIPIL,985,227,OPNAME,active,Proses KTK/Approval Kontraktor,2026-05-12,59,,,
BANDUNG RAYA,BZ01-2601-0345,Indihiang 58,ME,879,228,OPNAME,active,Proses KTK/Approval Kontraktor,2026-05-05,14,,,
BANDUNG RAYA,BZ01-2601-0345,INDIHIANG 58,SIPIL,871,229,OPNAME,active,Proses KTK/Approval Kontraktor,2026-05-06,68,,,
BANDUNG RAYA,BZ01-2602-0004,BUKIT RAYA,ME,936,10,OPNAME,active,Proses KTK/Approval Kontraktor,2026-05-06,0,,,
BANDUNG RAYA,BZ01-2602-0004,BUKIT RAYA,SIPIL,937,230,OPNAME,active,Proses KTK/Approval Kontraktor,2026-05-06,91,,,
BANDUNG RAYA,BZ01-2604-0004,DS DC Bandung,SIPIL,1791,320,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-29,4,,,
BANDUNG RAYA,BZ01-2608-0003,CIBARENGKOK,SIPIL,1535,124,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-16,29,,https://drive.google.com/file/d/1ZQbZ7ZOkqhI0LW73IUkZygRjfHC5k92e/view?usp=drivesdk,
BANJARMASIN,1GZ1-2601-0001,MUARA TAPUS,ME,925,210,OPNAME,active,Proses KTK/Approval Kontraktor,2026-05-08,28,,,
BANJARMASIN,1GZ1-2601-0001,MUARA TAPUS,SIPIL,939,211,OPNAME,active,Proses KTK/Approval Kontraktor,2026-05-11,4,,,
BANJARMASIN,1GZ1-2602-0001,ALFAMART PULPIS MANTEREN,ME,1561,72,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-04,2,,,
BENGKULU,PZ01-2602-PC22-R,JL. SAM RATULANGI,SIPIL,980,287,OPNAME_FINAL,terkunci,Disetujui,2026-04-15,80,,https://drive.google.com/file/d/161kskmP3yuQuQEyTseO2c1iA6mnMooCI/view?usp=drivesdk,
BENGKULU,PZ01-2603-0033,Kemas Jamaluddin,SIPIL,1160,288,OPNAME_FINAL,terkunci,Disetujui,2026-04-07,4,,https://drive.google.com/file/d/1sPLB_qewPOl1zpU1cy8VEIDHEgANHkzr/view?usp=drivesdk,
BOGOR,XZ01-2026-X956-R,RAYA SOLEH ISKANDAR,SIPIL,808,244,OPNAME,active,Proses KTK/Approval Kontraktor,2026-04-24,1,,,
BOGOR,XZ01-2512-0002,JL. MESJID RAWA GENI,ME,777,14,OPNAME_FINAL,terkunci,Menunggu Persetujuan Koordinator,2026-05-13,0,,https://drive.google.com/file/d/1D18hgPKbMCTRRsC7HUIjOltvGQsh528Y/view?usp=drivesdk,
BOGOR,XZ01-2512-0002,JL. MESJID RAWA GENI,SIPIL,780,296,OPNAME_FINAL,terkunci,Disetujui,2026-05-15,102,,https://drive.google.com/file/d/114eSwDmUDHbT2bAqrEgA65RkLt4n26gM/view?usp=drivesdk,
BOGOR,XZ01-2512-0003,LEMBAH HIJAU,ME,822,297,OPNAME_FINAL,terkunci,Disetujui,2026-05-07,26,,https://drive.google.com/file/d/1OMGSUSgGBFBYA3oeBaFbtsCucX2kdzIp/view?usp=drivesdk,
BOGOR,XZ01-2602-0004,DS grand depok city,ME,950,245,OPNAME,active,Proses KTK/Approval Kontraktor,2026-05-22,23,,,
BOGOR,XZ01-2602-0004,DS grand depok city,SIPIL,951,246,OPNAME,active,Proses KTK/Approval Kontraktor,2026-05-25,89,,,
BOGOR,XZ01-2602-X716-R,KEADILAN 2,SIPIL,969,56,OPNAME,active,Proses KTK/Approval Kontraktor,2026-05-29,1,,,
BOGOR,XZ01-2602-XB72-R,PARUNG BANTENG,ME,875,298,OPNAME_FINAL,terkunci,Disetujui,2026-06-08,10,,https://drive.google.com/file/d/17i9HiJ3n6eDGrtepxnepu1AH3T69UzN4/view?usp=drivesdk,
BOGOR,XZ01-2602-XB72-R,PARUNG BANTENG,SIPIL,874,299,OPNAME_FINAL,terkunci,Disetujui,2026-06-08,10,,https://drive.google.com/file/d/1RI6IlEqanUedyIPdua9kz_GzQ1uQMuU8/view?usp=drivesdk,
CIANJUR,2JZ1-1903-0012-R,TOKO DC CIANJUR,ME,895,68,OPNAME_FINAL,terkunci,Disetujui,2026-06-04,14,,https://drive.google.com/file/d/1fEod70kKtGNESj4En9SxMAS_W9kuogZ_/view?usp=drivesdk,
CIANJUR,2JZ1-1903-0012-R,TOKO DC CIANJUR,SIPIL,898,69,OPNAME_FINAL,terkunci,Disetujui,2026-06-04,56,,https://drive.google.com/file/d/1EtNCKnLg7csBz-PYXsj018NXHq48tgR6/view?usp=drivesdk,
CIANJUR,2JZ1-2512-0004,MEKARJAYA,ME,880,270,OPNAME_FINAL,terkunci,Disetujui,2026-04-13,21,,https://drive.google.com/file/d/1XAPYKW70BHj8uhYln-JHFmJapJIjK_T9/view?usp=drivesdk,
CIANJUR,2JZ1-2512-0004,MEKARJAYA,SIPIL,887,271,OPNAME_FINAL,terkunci,Disetujui,2026-04-14,98,,https://drive.google.com/file/d/1CJ8Sj2-mTa7l_v1Px1yBGWCM11jPfX5p/view?usp=drivesdk,
CIANJUR,2JZ1-2601-0005,HOTEL CORDELA CIANJUR,ME,832,272,OPNAME_FINAL,terkunci,Disetujui,2026-04-07,27,,https://drive.google.com/file/d/1vJzeDHqCvda7NNzfjuRNQtSp2akjkRsA/view?usp=drivesdk,
CIANJUR,2JZ1-2601-0005,HOTEL CORDELA CIANJUR,SIPIL,838,273,OPNAME_FINAL,terkunci,Disetujui,2026-04-07,54,,https://drive.google.com/file/d/1UGhpWmK_-WQASUoI5g0Fmig6GbN0bHpt/view?usp=drivesdk,
CIANJUR,2JZ1-2603-0002,REST AREA ASSALAM,ME,1164,274,OPNAME_FINAL,terkunci,Disetujui,2026-05-08,29,,https://drive.google.com/file/d/1vp6eXMRSdY-ObbEjocvHm-kmFqMgKGvK/view?usp=drivesdk,
CIANJUR,2JZ1-2603-0002,REST AREA ASSALAM,SIPIL,1112,275,OPNAME_FINAL,terkunci,Disetujui,2026-05-07,88,,https://drive.google.com/file/d/18kQGTbHGbQ33CWeyhFSfRlSdPbEH_tld/view?usp=drivesdk,
CIANJUR,2JZ1-2603-0003,GUNUNG JAYA,ME,1243,276,OPNAME_FINAL,terkunci,Disetujui,2026-06-04,27,,https://drive.google.com/file/d/1AXL19pDNjcoALp5AVfd9DF4lggn6QoRY/view?usp=drivesdk,
CIANJUR,2JZ1-2604-0009,ALFAMART  SUMUR BANDUNG PLARA,SIPIL,2433,313,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-29,2,,,
CIANJUR,2JZ1-2604-X098-R,KOPO CISARUA,SIPIL,1403,207,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-25,4,,https://drive.google.com/file/d/1xJGQhQzRxXg9PVU-WTK6hSr5FD3XsEmK/view?usp=drivesdk,
CIANJUR,2JZ1-2605-0005,SUDAJAYA HILIR,SIPIL,1882,77,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-09,22,,,
CILACAP,IZ01-2601-0006,BAKUREJO,SIPIL,1000,231,OPNAME,active,Proses KTK/Approval Kontraktor,2026-05-06,24,,,
CILACAP,IZ01-2601-0009,WR SUPRATMAN,ME,1318,253,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-25,30,,,
CILEUNGSI,JZ01-2511-0006,CIPINANG MUARA RAYA,SIPIL,1028,127,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-17,63,,,
CILEUNGSI,JZ01-2601-0005,WIJAYA KUSUMA TERATAI,SIPIL,1280,235,OPNAME,active,Proses KTK/Approval Kontraktor,2026-05-07,3,,,
CILEUNGSI,JZ01-2602-0001,DARK STORE CEMPAKA PUTIH ( PANGKALAN ASEM ),SIPIL,1043,236,OPNAME,active,Proses KTK/Approval Kontraktor,2026-04-21,4,,,
CILEUNGSI,JZ01-2603-0001,Stasiun KCIC Halim,SIPIL,1249,9,OPNAME,active,Proses KTK/Approval Kontraktor,2026-05-04,0,,,
CILEUNGSI,JZ01-2603-0002,PAHLAWAN REVOLUSI,SIPIL,1195,237,OPNAME,active,Proses KTK/Approval Kontraktor,2026-05-04,3,,,
GORONTALO,2SZ1-2507-0010,DULOMO SELATAN,SIPIL,1163,154,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-22,14,,https://drive.google.com/file/d/1S6GGRscU7epop5je98Dw_GAgtQr15zoE/view?usp=drivesdk,
GORONTALO,2SZ1-2508-0009,HEPUHULAWA LIMBOTO,SIPIL,1582,150,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-22,103,,https://drive.google.com/file/d/1hxqVUukaIxPSuGsSOf0B8D79_ticDwJv/view?usp=drivesdk,
GORONTALO,2SZ1-2509-0004,BUKO PINANGGALUMAN,SIPIL,1343,156,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-22,1,,,
GORONTALO,2SZ1-2511-0005,LIMBA U 1 GORONTALO,SIPIL,1328,151,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-22,4,,https://drive.google.com/file/d/1gsCdvw9p07-S8jDJ9XLO7Gd_G_OdLwsc/view?usp=drivesdk,
GORONTALO,2SZ1-2511-0009-R,BIONTONG BOLMUT,SIPIL,1315,138,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-19,4,,,
GORONTALO,2SZ1-2601-0004,KULANGO BUOL,SIPIL,1879,152,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-22,4,,https://drive.google.com/file/d/12sbv9f1RFNhLYuJxIn-R8JS9EO2-yF1v/view?usp=drivesdk,
GORONTALO,2SZ1-2601-0006,MATINAN BUOL,SIPIL,1857,140,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-19,4,,,
GORONTALO,2SZ1-2601-0010,SULTAN HASANUDIN BUOL,SIPIL,1884,141,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-19,3,,,
GORONTALO,2SZ1-2603-0001-R,DALAPULI BOLMUT,ME,1311,122,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-16,27,,,
GORONTALO,2SZ1-2603-0001-R,DALAPULI BOLMUT,SIPIL,1310,84,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-15,111,,,
GORONTALO,2SZ1-2603-0006,PALELEH BUOL,SIPIL,1431,139,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-19,8,,,
HEAD OFFICE,Z001-2510-0001,TRIAL NIEL,SIPIL,2152,247,OPNAME,active,Proses KTK/Approval Kontraktor,2025-12-11,4,,,
HEAD OFFICE,Z001-2512-0001,EMAS,ME,2140,300,OPNAME_FINAL,terkunci,Disetujui,2026-01-09,3,,https://drive.google.com/file/d/1O7iVsYupCEjrH7dGXbp5YUAXXREVczwk/view?usp=drivesdk,
